id,screen_name,name,created_at,full_text,hour,text_length,contains_engie,day,week,month,mentions_engie,tweet_critique,sentiment,sentiment_class,urgence_status,degree_of_discomfort,categorie_plaintes
"1,72517E+18",gptournier,Guillaume Tournier,2023-11-16 15:13:18,"ENGIEpartFR n6 mois dattente et tjs aucune réponse de lagence engie home service grand marseille à Aubagne sur un devis, malgré des multiples relances. Je reste coincé à appeler la plateforme tél et à entendre quon me rappellenPour le numéro 1 du service client cest dommage",15,282,True,2023-11-16,2023-11-13/2023-11-19,2023-11,1,False,NEGATIVE,Négatif,Urgence,80,Service Client
"1,72868E+18",jouanetwan,Jouan Etwan 💚💛,2023-11-26 07:34:34,"Bonjour ENGIEpartSAV , lappli monpilotageelec bug depuis hier, suisje le seul dans ce cas ? Pas de bol , le premier jour où la température est négative.",7,155,True,2023-11-26,2023-11-20/2023-11-26,2023-11,1,False,NEGATIVE,Négatif,Urgence,40,Problèmes avec l’application
"1,73784E+18",vince_thouvenin,thouvenin,2023-12-21 14:27:08,ENGIEpartFR mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'Amiens n'intervient pas malgré deux semaines de relances pour avoir DE L'EAU CHAUDE ! EN PLEIN HIVER C'EST SCANDALEUX !,14,219,True,2023-12-21,2023-12-18/2023-12-24,2023-12,1,True,NEGATIVE,Négatif,Urgence,40,Pannes & Urgences
"1,74049E+18",BiduleAnatheme,Anathème Bidule,2023-12-28 21:32:58,"ENGIEpartSAV vous envisagez de vous occuper de l'agence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ?nEt non, je n'enverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la dgccrf.",21,267,True,2023-12-28,2023-12-25/2023-12-31,2023-12,1,False,NEGATIVE,Négatif,Pas Urgence,0,Autre
"1,74068E+18",vince_thouvenin,thouvenin,2023-12-29 10:08:10,"ENGIEpartSAV retour de votre technicien vous n'avez pas d'eau chaude car vos mousseurs sont entartrés, ça crée des problème de pression l'intégralité de la robinetterie a deux ans, refaite à neuf. Vous ne respectez pas vos clients...",10,240,True,2023-12-29,2023-12-25/2023-12-31,2023-12,1,False,NEGATIVE,Négatif,Pas Urgence,0,Pannes & Urgences
"1,74069E+18",dionombo,Zawarudo 😈,2023-12-29 11:13:42,ENGIEpartFR Merci pour l'annulation d'entretien de dernière minute. Ça me met bien dans la merde... Quand au service client ils ne comprennent rien. Je retiens la leçon....,11,175,True,2023-12-29,2023-12-25/2023-12-31,2023-12,1,False,NEGATIVE,Négatif,Urgence,80,Service Client
"1,74071E+18",hawaien88,hawaien88,2023-12-29 12:16:46,Je mexplique mal où cest les personnes du chat qui ne comprennent rien ?nCest lunaire comme échange depuis hier !!! ENGIEpartFR faites quelques choses !!! 19,12,159,True,2023-12-29,2023-12-25/2023-12-31,2023-12,1,False,NEGATIVE,Négatif,Pas Urgence,0,Autre
"1,74073E+18",hawaien88,hawaien88,2023-12-29 14:01:48,ENGIEpartSAV Et cest si compliqué dexpliquer ça? Vous pouvez supprimer le chat si ils sont pas formés pour répondre au question. Donc sur ma prochaine facture il ny aura plus cette ligne? Donc cette partie correspond à la consommation de quelle période? Que je puisse vérifier dans ma bdd?,14,296,True,2023-12-29,2023-12-25/2023-12-31,2023-12,1,False,NEGATIVE,Négatif,Pas Urgence,0,Facturation
"1,7411E+18",Petit20850206,Petit,2023-12-30 13:55:44,"ENGIEpartFR Bonjour, J'ai reçu un courrier de votre part le 29122023 qui m'ordonne d'installer un compteur numérique avant le 01012024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ?",13,272,True,2023-12-30,2023-12-25/2023-12-31,2023-12,1,True,NEGATIVE,Négatif,Urgence,40,Autre
"1,7418E+18",Jules_brdn,🇷🇸 Ajde Ana! 🇷🇸,2024-01-01 12:45:32,"ENGIEpartSAV urgent !! Une honte mon abonnement est passé à 0,32 du kwh ?!?? Merci de me répondre urgemment ! Alors que javais un contrat de 2 ans à 0,10 je viens de mapercevoir aujourdhui que la facture a triple !!",12,219,True,2024-01-01,2024-01-01/2024-01-07,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Facturation
"1,74187E+18",fhureau,François Hureau 🐦,2024-01-01 16:59:03,"Bonjour ENGIEpartSAV, Alors que le prix repère moyen de vente du gaz publié par la CREenergie est passé de 0,10406 à 0,09990KwH entre décembre et janvier, le prix de l'offre tranquillité est passé de 0,09686 à 0,10230 ? Quelle est votre formule d'indexation ?",16,267,True,2024-01-01,2024-01-01/2024-01-07,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Facturation
"1,74213E+18",AmirRamires,Ramirez,2024-01-02 10:24:08,enedis ENGIEgroup ENGIEpartFR enedisclients enedisparis pour vous cest normal de laisser des familles sans électricité ?nPlus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service lélectricité nEn plein mois de janvier ou les températures sont basses !,10,273,True,2024-01-02,2024-01-01/2024-01-07,2024-01,2,False,NEGATIVE,Négatif,Pas Urgence,0,Autre
"1,74248E+18",AnneCremer2,Anne Cremer,2024-01-03 09:19:30,"ENGIEpartFR j'essaie de vous joindre depuis 48 h, impossible. J'ai envoyé un mail le 28.12, pas de réponse non plus. Je veux adapter le montant de mon forfait impossible sur votre site.",9,187,True,2024-01-03,2024-01-01/2024-01-07,2024-01,1,False,NEGATIVE,Négatif,Urgence,40,Facturation
"1,74256E+18",Eurpbo2016,Pbo,2024-01-03 14:40:58,ENGIEpartFR bonjour mon épouse na plus accès à son compte particulier pour consulter ses factures.nComment faire ?nMerci,14,123,True,2024-01-03,2024-01-01/2024-01-07,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Facturation
"1,74283E+18",hawaien88,hawaien88,2024-01-04 08:33:30,ENGIEpartSAV Vous mavez demandé de venir en privé pour quon ne voit pas que vous ne répondez plus. Ma facture est de septembre et vous me dites quil sagit des consommations de septembre à décembre. Jattends toujours une explication.,8,237,True,2024-01-04,2024-01-01/2024-01-07,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Facturation
"1,74289E+18",bbast____,Bastos en brr,2024-01-04 12:31:53,Nayant pas Twitter je passe par le compte dun proche pour solliciter ENGIEpartFR qui me prélève et réclame des sommes aléatoires et faramineuses sans me prévenir en amont et sans jamais pouvoir les justifier. Comment débloquer cette situation qui me pèse depuis des mois ?,12,279,True,2024-01-04,2024-01-01/2024-01-07,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Autre
"1,7429E+18",chiquitamala,marga,2024-01-04 13:34:11,"ENGIEpartSAV ENGIEpartFR sommes arrivés à 624.32, je vous souhaite une bonne journée et compte sur moi pour commencer une guerre médiatique. Merci encore pour votre attention.",13,179,True,2024-01-04,2024-01-01/2024-01-07,2024-01,2,False,NEGATIVE,Neutre,Pas Urgence,0,Autre
"1,74318E+18",WhoCares188,ÇA GIIIIIIVE🫦,2024-01-05 07:55:39,"Comme les afficher cest ce qui marche, ENGIEpartSAV ENGIEpartFR, vous deviez me rembourser dans un délai de 15j max selon vos dires, ça va faire 2 mois que jattends mes sous!!!",7,178,True,2024-01-05,2024-01-01/2024-01-07,2024-01,2,False,NEGATIVE,Négatif,Pas Urgence,0,Autre
"1,74321E+18",OPredhomme,Olivier Predhomme,2024-01-05 09:52:06,.ENGIEpartFR déjà une semaine et demi sans nouvelle de votre part. Plus deau chaude. Plus de chauffage. On fait comment pour avoir une réponse??? Cest quoi ce service client??? ENGIEgroup,9,190,True,2024-01-05,2024-01-01/2024-01-07,2024-01,2,False,NEGATIVE,Négatif,Urgence,40,Pannes & Urgences
"1,74365E+18",AykCtk,PoAyko,2024-01-06 15:07:35,"ENGIEpartFR Bonjour,nJe vous ai envoyé un DM la semaine passée, sans aucune réponse de votre part. Pourriezvous avoir l'amabilité de porter un intérêt à mes questions sur des factures qui s'élèvent à 280 pour le mois de novembre ? App. de 67m2 entièrement refait à neuf",15,281,True,2024-01-06,2024-01-01/2024-01-07,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Facturation
"1,74374E+18",Bonheur151,Bonheur15,2024-01-06 21:15:38,"BrunoLeMaire deux questions moi , mes parents et grands parents ont payé les centrales nucléaires pourquoi ce prix de lélectricité ?ENGIEgroup augmenter labonnement de 35 cest à cause de la guerre en Ukraine ou vs vs gavez bande de voleurs Jattends vos retours !",21,267,True,2024-01-06,2024-01-01/2024-01-07,2024-01,1,False,NEGATIVE,Négatif,Urgence,40,Facturation
"1,74443E+18",jouanetwan,Jouan Etwan 💚💛,2024-01-08 19:01:43,"ENGIEpartSAV Bonjour ENGIEpartSAV , lappli monpilotageelec Nouveau bug, il fait 3 degrés engie",19,95,True,2024-01-08,2024-01-08/2024-01-14,2024-01,2,False,NEGATIVE,Négatif,Urgence,40,Problèmes avec l’application
"1,74444E+18",blacklicorne2,Blacklicorne,2024-01-08 19:05:22,ENGIEpartSAV monpilotageelec Bonsoir. L appli ne fonctionne pas ce soir testé sur plusieurs téléphones. Dès qu il fait froid on dirait que les serveurs plantent.,19,165,True,2024-01-08,2024-01-08/2024-01-14,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Autre
"1,74444E+18",Deer174229,Bridget Jones^^🧡(Journalisme)🇫🇷🇪🇺🇺🇦,2024-01-08 19:18:30,"C'est quand même curieux ENGIEpartFR n, chaque fois qu'il y a une vague de températures négatives, l'application mon pilotage élec est en rade. Ça fait 3 fois depuis le début de l'hiver. Le pire c'est qu'on te dit que tu n'es pas connecté à internet. Je suis en 5ghz",19,274,True,2024-01-08,2024-01-08/2024-01-14,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Problèmes avec l’application
"1,74447E+18",CloBusnel,Chloé Marchand,2024-01-08 21:20:58,"Merci ENGIEpartFR pour son appli de réglage de chauffage connecté qui ne fonctionne pas, encore, durant cette vague de froid avec 2 enfants en bas âge !!!!",21,158,True,2024-01-08,2024-01-08/2024-01-14,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Autre
"1,74449E+18",mecquiraletrop,Mec qui râle trop φ🏟️⚽️🏈⏚,2024-01-08 22:50:52,ENGIEpartFR 4h que je peux rien faire avec votre appli et quil fait 4 dehors.nDeuxième fois alors que je suis chez vous depuis 3 semaines. Va falloir mexpliquer là,22,165,True,2024-01-08,2024-01-08/2024-01-14,2024-01,1,False,NEGATIVE,Négatif,Pas Urgence,0,Autre
"1,74462E+18",ML09119902,M L,2024-01-09 07:17:31,Lappli monpilotageelec est toujours KO ce matin ENGIEpartSAV ENGIEpartFR,7,72,True,2024-01-09,2024-01-08/2024-01-14,2024-01,2,False,NEGATIVE,Négatif,Pas Urgence,0,Autre
