id,screen_name,name,created_at,full_text,hour,text_length,contains_engie,day,tweets_par_jour,tweets_par_semaine,tweets_par_mois,mentions_engie_par_jour,tweets_critique_par_jour,cleaned_tweet
"1,72517E+18",gptournier,Guillaume Tournier,2023-11-16 15:13:18+00:00,"ENGIEpartFR n6 mois dattente et tjs aucune réponse de lagence engie home service grand marseille à Aubagne sur un devis, malgré des multiples relances. Je reste coincé à appeler la plateforme tél et à entendre quon me rappellenPour le numéro 1 du service client cest dommage",15,282,True,2023-11-16,1,0,0,1,0,ENGIEpartFR ne mois attente et tes aucune réponse de agence envie home service grand pareille a aubaine sur un devis malgré des multiples relances Je reste coince a appeler la plateforme tel et a entendre quoi me rappellenPour le numéro 1 du service client est dommage
"1,72868E+18",jouanetwan,Jouan Etwan 💚💛,2023-11-26 07:34:34+00:00,"Bonjour ENGIEpartSAV , lappli monpilotageelec bug depuis hier, suisje le seul dans ce cas ? Pas de bol , le premier jour où la température est négative.",7,155,True,2023-11-26,1,0,0,1,0,Bonjour ENGIEpartSAV appui monpilotageelec but depuis hier suisse le seul dans ce cas Pas de bol le premier jour ou la température est négative
"1,73784E+18",vince_thouvenin,thouvenin,2023-12-21 14:27:08+00:00,ENGIEpartFR mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'Amiens n'intervient pas malgré deux semaines de relances pour avoir DE L'EAU CHAUDE ! EN PLEIN HIVER C'EST SCANDALEUX !,14,219,True,2023-12-21,1,0,0,1,1,ENGIEpartFR mon syndic de copropriété serait en est a vous mettre en demeure car votre agence damiers intervient pas malgré deux semaines de relances pour avoir DE beau CHAUDE EN PLEIN HIVER est SCANDALEUX
"1,74049E+18",BiduleAnatheme,Anathème Bidule,2023-12-28 21:32:58+00:00,"ENGIEpartSAV vous envisagez de vous occuper de l'agence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ?nEt non, je n'enverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la dgccrf.",21,267,True,2023-12-28,1,0,0,1,0,ENGIEpartSAV vous envisagez de vous occuper de agence fantôme du secteur Grand pareille un jour ou on va au tribunal nEt non je enverrai pas un ennemi mais que vous ne traiterez pas Vous avez une mise en demeure a traiter Et un signalement a la dgccrf
"1,74068E+18",vince_thouvenin,thouvenin,2023-12-29 10:08:10+00:00,"ENGIEpartSAV retour de votre technicien vous n'avez pas d'eau chaude car vos mousseurs sont entartrés, ça crée des problème de pression l'intégralité de la robinetterie a deux ans, refaite à neuf. Vous ne respectez pas vos clients...",10,240,True,2023-12-29,4,0,0,4,0,ENGIEpartSAV retour de votre technicien vous avez pas beau chaude car vos pousseurs sont entartre la crée des problème de pression lintegralite de la robinetterie a deux ans refaite a neuf Vous ne respectez pas vos clients
"1,74069E+18",dionombo,Zawarudo 😈,2023-12-29 11:13:42+00:00,ENGIEpartFR Merci pour l'annulation d'entretien de dernière minute. Ça me met bien dans la merde... Quand au service client ils ne comprennent rien. Je retiens la leçon....,11,175,True,2023-12-29,4,0,0,4,0,ENGIEpartFR Merci pour annulation entretien de dernière minute la me met bien dans la perde Quand au service client ils ne comprennent rien Je retiens la leçon
"1,74071E+18",hawaien88,hawaien88,2023-12-29 12:16:46+00:00,Je mexplique mal où cest les personnes du chat qui ne comprennent rien ?nCest lunaire comme échange depuis hier !!! ENGIEpartFR faites quelques choses !!! 19,12,159,True,2023-12-29,4,0,0,4,0,Je explique mal ou est les personnes du chat qui ne comprennent rien est lunaire comme change depuis hier ENGIEpartFR faites quelques choses 19
"1,74073E+18",hawaien88,hawaien88,2023-12-29 14:01:48+00:00,ENGIEpartSAV Et cest si compliqué dexpliquer ça? Vous pouvez supprimer le chat si ils sont pas formés pour répondre au question. Donc sur ma prochaine facture il ny aura plus cette ligne? Donc cette partie correspond à la consommation de quelle période? Que je puisse vérifier dans ma bdd?,14,296,True,2023-12-29,4,0,0,4,0,ENGIEpartSAV Et est si complique expliquer la Vous pouvez supprimer le chat si ils sont pas formes pour répondre au question Donc sur ma prochaine facture il ne aura plus cette ligne Donc cette partie correspond a la consommation de quelle période Que je puisse vérifier dans ma bd
"1,7411E+18",Petit20850206,Petit,2023-12-30 13:55:44+00:00,"ENGIEpartFR Bonjour, J'ai reçu un courrier de votre part le 29122023 qui m'ordonne d'installer un compteur numérique avant le 01012024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ?",13,272,True,2023-12-30,1,0,0,1,1,ENGIEpartFR Bonjour ai reçu un courrier de votre part le 29122023 qui ordonne installer un compteur numérique avant le 01012024 est scandaleux comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin donner
"1,7418E+18",Jules_brdn,🇷🇸 Ajde Ana! 🇷🇸,2024-01-01 12:45:32+00:00,"ENGIEpartSAV urgent !! Une honte mon abonnement est passé à 0,32 du kwh ?!?? Merci de me répondre urgemment ! Alors que javais un contrat de 2 ans à 0,10 je viens de mapercevoir aujourdhui que la facture a triple !!",12,219,True,2024-01-01,2,0,0,2,0,ENGIEpartSAV urgent Une honte mon abonnement est passe a 032 du oh Merci de me répondre ardemment Alors que jamais un contrat de 2 ans a 010 je viens de apercevoir aujourd'hui que la facture a triple
