id;screen_name;name;created_at;full_text
1,72517E+18;gptournier;Guillaume Tournier;2023-11-16 16:13:18+01:00;n6 mois dattente et tjs aucune rponse de lagence engie home service grand marseille Aubagne sur un devis, malgr des multiples relances. Je reste coinc appeler la plateforme tl et entendre quon me rappellenPour le numro 1 du service client cest dommage
1,72868E+18;jouanetwan;Jouan Etwan 💚💛;2023-11-26 08:34:34+01:00;Bonjour , lappli monpilotageelec bug depuis hier, suisje le seul dans ce cas ? Pas de bol , le premier jour o la temprature est ngative.
1,73784E+18;vince_thouvenin;thouvenin;2023-12-21 15:27:08+01:00;mon syndic de coproprit sergic en est vous mettre en demeure car votre agence d'Amiens n'intervient pas malgr deux semaines de relances pour avoir DE L'EAU CHAUDE ! EN PLEIN HIVER C'EST SCANDALEUX !
1,74049E+18;BiduleAnatheme;Anathème Bidule;2023-12-28 22:32:58+01:00;vous envisagez de vous occuper de l'agence fantme du secteur Grand Marseille un jour, ou on va au tribunal ?nEt non, je n'enverrai pas un nime mail que vous ne traiterez pas. Vous avez une mise en demeure traiter. Et un signalement la .
1,74068E+18;vince_thouvenin;thouvenin;2023-12-29 11:08:10+01:00;retour de votre technicien vous n'avez pas d'eau chaude car vos mousseurs sont entartrs, a cre des problme de pression l'intgralit de la robinetterie a deux ans, refaite neuf. Vous ne respectez pas vos clients...
1,74069E+18;dionombo;Zawarudo 😈;2023-12-29 12:13:42+01:00;Merci pour l'annulation d'entretien de dernire minute. a me met bien dans la merde... Quand au service client ils ne comprennent rien. Je retiens la leon....
1,74071E+18;hawaien88;hawaien88;2023-12-29 13:16:46+01:00;Je mexplique mal o cest les personnes du chat qui ne comprennent rien ?nCest lunaire comme change depuis hier !!! faites quelques choses !!! 19
1,74073E+18;hawaien88;hawaien88;2023-12-29 15:01:48+01:00;Et cest si compliqu dexpliquer a? Vous pouvez supprimer le chat si ils sont pas forms pour rpondre au question. Donc sur ma prochaine facture il ny aura plus cette ligne? Donc cette partie correspond la consommation de quelle priode? Que je puisse vrifier dans ma bdd?
1,7411E+18;Petit20850206;Petit;2023-12-30 14:55:44+01:00;Bonjour, J'ai reu un courrier de votre part le 29122023 qui m'ordonne d'installer un compteur numrique avant le 01012024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les ftes de fin d'anne ?
1,7418E+18;Jules_brdn;🇷🇸 Ajde Ana! 🇷🇸;2024-01-01 13:45:32+01:00;urgent !! Une honte mon abonnement est pass 0,32 du kwh ?!?? Merci de me rpondre urgemment ! Alors que javais un contrat de 2 ans 0,10 je viens de mapercevoir aujourdhui que la facture a triple !!
1,74187E+18;fhureau;François Hureau 🐦;2024-01-01 17:59:03+01:00;Bonjour , Alors que le prix repre moyen de vente du gaz publi par la est pass de 0,10406 0,09990KwH entre dcembre et janvier, le prix de l'offre tranquillit est pass de 0,09686 0,10230 ? Quelle est votre formule d'indexation ?
1,74213E+18;AmirRamires;Ramirez;2024-01-02 11:24:08+01:00;pour vous cest normal de laisser des familles sans lectricit ?nPlus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service llectricit nEn plein mois de janvier ou les tempratures sont basses !
1,74248E+18;AnneCremer2;Anne Cremer;2024-01-03 10:19:30+01:00;j'essaie de vous joindre depuis 48 h, impossible. J'ai envoy un mail le 28.12, pas de rponse non plus. Je veux adapter le montant de mon forfait impossible sur votre site.
1,74256E+18;Eurpbo2016;Pbo;2024-01-03 15:40:58+01:00;bonjour mon pouse na plus accs son compte particulier pour consulter ses factures.nComment faire ?nMerci
1,74283E+18;hawaien88;hawaien88;2024-01-04 09:33:30+01:00;Vous mavez demand de venir en priv pour quon ne voit pas que vous ne rpondez plus. Ma facture est de septembre et vous me dites quil sagit des consommations de septembre dcembre. Jattends toujours une explication.
1,74289E+18;bbast____;Bastos en brr;2024-01-04 13:31:53+01:00;Nayant pas Twitter je passe par le compte dun proche pour solliciter qui me prlve et rclame des sommes alatoires et faramineuses sans me prvenir en amont et sans jamais pouvoir les justifier. Comment dbloquer cette situation qui me pse depuis des mois ?
1,7429E+18;chiquitamala;marga;2024-01-04 14:34:11+01:00;sommes arrivs 624.32, je vous souhaite une bonne journe et compte sur moi pour commencer une guerre mdiatique. Merci encore pour votre attention.
1,74318E+18;WhoCares188;ÇA GIIIIIIVE🫦;2024-01-05 08:55:39+01:00;Comme les afficher cest ce qui marche, , vous deviez me rembourser dans un dlai de 15j max selon vos dires, a va faire 2 mois que jattends mes sous!!!
1,74321E+18;OPredhomme;Olivier Predhomme;2024-01-05 10:52:06+01:00;. dj une semaine et demi sans nouvelle de votre part. Plus deau chaude. Plus de chauffage. On fait comment pour avoir une rponse??? Cest quoi ce service client???
1,74365E+18;AykCtk;PoAyko;2024-01-06 16:07:35+01:00;Bonjour,nJe vous ai envoy un DM la semaine passe, sans aucune rponse de votre part. Pourriezvous avoir l'amabilit de porter un intrt mes questions sur des factures qui s'lvent 280 pour le mois de novembre ? App. de 67m2 entirement refait neuf
1,74374E+18;Bonheur151;Bonheur15;2024-01-06 22:15:38+01:00;deux questions moi , mes parents et grands parents ont pay les centrales nuclaires pourquoi ce prix de llectricit ? augmenter labonnement de 35 cest cause de la guerre en Ukraine ou vs vs gavez bande de voleurs Jattends vos retours !
1,74443E+18;jouanetwan;Jouan Etwan 💚💛;2024-01-08 20:01:43+01:00;Bonjour , lappli monpilotageelec Nouveau bug, il fait 3 degrs engie
1,74444E+18;blacklicorne2;Blacklicorne;2024-01-08 20:05:22+01:00;monpilotageelec Bonsoir. L appli ne fonctionne pas ce soir test sur plusieurs tlphones. Ds qu il fait froid on dirait que les serveurs plantent.
1,74444E+18;Deer174229;Bridget Jones^^🧡(Journalisme)🇫🇷🇪🇺🇺🇦;2024-01-08 20:18:30+01:00;C'est quand mme curieux n, chaque fois qu'il y a une vague de tempratures ngatives, l'application mon pilotage lec est en rade. a fait 3 fois depuis le dbut de l'hiver. Le pire c'est qu'on te dit que tu n'es pas connect internet. Je suis en 5ghz
1,74447E+18;CloBusnel;Chloé Marchand;2024-01-08 22:20:58+01:00;Merci pour son appli de rglage de chauffage connect qui ne fonctionne pas, encore, durant cette vague de froid avec 2 enfants en bas ge !!!!
1,74449E+18;mecquiraletrop;Mec qui râle trop φ🏟️⚽️🏈⏚;2024-01-08 23:50:52+01:00;4h que je peux rien faire avec votre appli et quil fait 4 dehors.nDeuxime fois alors que je suis chez vous depuis 3 semaines. Va falloir mexpliquer l
1,74462E+18;ML09119902;M L;2024-01-09 08:17:31+01:00;Lappli monpilotageelec est toujours KO ce matin
1,7447E+18;Divergents20;Divergent;2024-01-09 13:19:53+01:00;Le foutage de gueule de , pour une maison de 96 m carr o on vit 4 en pleine priode de froid normal pour la saison... Ah il n'y pas de risques qu'il me file la prime...
1,74516E+18;prisspriss12;Missoussipi78;2024-01-10 20:09:32+01:00;En panne de chauffage et d'eau chaude avec Malgr des installations soidisant neuves, rien ne fonctionne. Incomptence ProblmesTechniques
1,74551E+18;LeMalth;Le Malth’;2024-01-11 19:28:37+01:00;nbonsoir, seraitil possible davoir un contact? 10 jours pour avoir un rdv avec un technicienune 16 degrs avec pompe chaleur et neuve,5 interventions,tjr pareil,a devient insupportable sans compter le service client inutile et la facture edf sale
1,74571E+18;Damien4118;🇫🇷 Damien 🇫🇷;2024-01-12 08:37:30+01:00;Bon savoir lorsqu intervient chez vous pour un changement de pice banal, vous pouvez vous retrouver ensuite sans chauffage. On vous proposera ensuite un rdv dans 3 jours pour venir voir ce qui se passe
1,74575E+18;MerlinPainpin;Alexus;2024-01-12 11:09:53+01:00;Le plus gros suspense de lanne n
1,74575E+18;david_yoteau;David Yoteau;2024-01-12 11:21:17+01:00;bonjour,nPlus de courant sur la commune de Saint hilaire de clisson. Une ide de ce qu'il se passe?
1,74576E+18;med_energie;médiateur national de l'énergie;2024-01-12 12:06:59+01:00;vendrediCfini nUne cliente d a reu un courrier de renouvellement de son offre de fourniture de gaz et dlectricit, sans mention des nouveaux prix de l'abonnement et du kWh. Il contient seulement 8 pages d' annexe de prix 14
1,74625E+18;y770_;petit coeur grenadine;2024-01-13 20:29:54+01:00;Pq vous mettez plusieurs jours pr envoyer qqun nous dpanner en plein hiver, en plus qqun qui vient qui na mme pas la pice quil faut on est sans eau chaude ni chauffage depuis 2 jours cest inhumain de traiter les gens comme a !!!!!!!!!!!!
1,74661E+18;coupinesandrine;Sandriiiine;2024-01-14 20:24:56+01:00;Bienvenue au club. On attend toujours qu'ils nous recontactent...
1,74692E+18;FannyLepoivre;Fanny Lepoivre;2024-01-15 16:54:58+01:00;48h que nous avons demand une intervention d'urgence dans notre immeuble Engie solutions Engie home services et toujours rien...pourtant l'eau coule en continu depuis 48h et plus personne n'a de chauffage, y compris nos aims de 90 ans vivants seuls ...
1,74717E+18;Qesakostan;Qesako I. 🇩🇪🇫🇷🇬🇧 🇪🇺 ◄🇺🇦◄🇷🇺◄ 🇨🇳;2024-01-16 09:18:21+01:00;POURQUOI ENGIE envoie plus mes factures par la postenJ'ai PAS VOULU leur Dmaterialisation
1,74751E+18;masy7723;Mamou Sy;2024-01-17 07:44:38+01:00;Accepteriez vous cela pour votre famille ?
1,74758E+18;RVL42600;JMB;2024-01-17 12:20:30+01:00;attention Engie rode ds nos quartiers. ltlt Engie gtgt , ,ltltGDF, je n'ai vendre. Je vrifie vos contrats. Vous n'avez rien faire. Juste tel Engie pour prendre le DUO gaz elec. gtgt part a vous n'avez rien vendre !n n
1,74758E+18;eli_____sa;🇵🇸 Eli⁷ | A VU KIM SEOKJIN & HOBI;2024-01-17 12:23:05+01:00;Dans un 60m2, avec un seul chauffage qui fonctionne 24h24 et un autre uniquement la nuit. Une tv, un frigo, une machine laver et une plaque induction. On est d'accord que c'est absolument pas normal d'avoir une facture de 300 balles ???n faut me venir en aide
1,74762E+18;vince_thouvenin;thouvenin;2024-01-17 14:45:59+01:00;deux mois sans eau chaude !!! Mme en mettant en demeure votre agence d'Amiens aucune rponse de vos services ! arnaqueengie
1,74763E+18;lazhonguoren;LZGR;2024-01-17 15:42:23+01:00;bonjour pourquoi jai une option lectricit verte sur un contrat de gaz ? na fait 24 mois que vous me facturez 3 en plus sur un contrat de gaz nVolezvous vos clients ?
