id;screen_name;name;created_at;full_text;cleaned_text;text_length;hour_of_day;contains_keywords;tweet_category;complaint_category;discomfort_score;ollama_complaint_response;auto_reply;sentiment;sentiment_score;ollama_sentiment_response
1,72517E+18;gptournier;Guillaume Tournier;2023-11-16 15:13:18;@ENGIEpartFR \n6 mois d’attente et tjs aucune réponse de l’agence engie home service grand marseille à Aubagne sur un devis, malgré des multiples relances. Je reste coincé à appeler la plate-forme tél et à entendre qu’on me rappelle\nPour le numéro 1 du service client c’est dommage;engiepartfr n6 mois d attente et tjs aucune réponse de l agence engie home service grand marseille à aubagne sur un devis malgré des multiples relances je reste coincé à appeler la plate forme tél et à entendre qu on me rappelle npour le numéro 1 du service client c est dommage;278;15;True;Service Client;Service client injoignable;80;"Catégorie : Service client injoignable
Score d'inconfort : 80

Réponse : @engiepartfr, nous sommes désolés de vous entendre ainsi. Vous avez des préoccupations concernant le statut de votre demande d'intervention ? Voudriez-vous discuter de cette affaire avec un agent du service client pour trouver une solution ?";Nous analysons votre situation.;Négatif;0;Négatif
1,72868E+18;jouanetwan;Jouan Etwan 💚💛;2023-11-26 07:34:34;Bonjour @ENGIEpartSAV , l’appli #monpilotageelec bug depuis hier, suis-je le seul dans ce cas ? Pas de bol , le premier jour où la température est négative.;bonjour engiepartsav l appli monpilotageelec bug depuis hier suis je le seul dans ce cas pas de bol le premier jour où la température est négative;146;7;False;Autre;Application Engie (bug, indisponibilité);80;"Catégorie : Application Engie (bug, indisponibilité)
Score d'inconfort : 80
Réponse : @monpilotageelec, nous sommes désolés d'entendre que vous rencontrez des problèmes avec votre application MonPiloteageElec. Nous allons vous aider à résoudre le bug de la température négative. Veuillez contacter notre support par téléphone au 0800 000 000 ou par email à [support@engie.fr](mailto:support@engie.fr) pour obtenir une assistance rapide.";@monpilotageelec, nous sommes désolés d'entendre que vous rencontrez des problèmes avec votre application MonPiloteageElec. Nous allons vous aider à résoudre le bug de la température négative. Veuillez contacter notre support par téléphone au 0800 000 000 ou par email à [support@engie.fr](mailto:support@engie.fr) pour obtenir une assistance rapide.;Neutre;50;Négaive
1,73784E+18;vince_thouvenin;thouvenin;2023-12-21 14:27:08;@ENGIEpartFR mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'Amiens n'intervient pas malgré deux semaines de relances pour avoir DE L'EAU CHAUDE ! EN PLEIN HIVER C'EST SCANDALEUX  !;engiepartfr mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d amiens n intervient pas malgré deux semaines de relances pour avoir de l eau chaude en plein hiver c est scandaleux;211;14;True;Panne & Urgence;Service client injoignable;80;"Catégorie : Service client injoignable
Score d'inconfort : 80
Réponse : ""Bonjour, nous entendons votre frustration et sommes désolés de vous avoir déçu. Veuillez contacter notre service client pour discuter de cette situation et trouver une solution. Nous allons faire le maximum pour résoudre ce problème et vous mettre à l'aise.""";"""Bonjour, nous entendons votre frustration et sommes désolés de vous avoir déçu. Veuillez contacter notre service client pour discuter de cette situation et trouver une solution. Nous allons faire le maximum pour résoudre ce problème et vous mettre à l'aise.""";Neutre;50;Négatif.
1,74049E+18;BiduleAnatheme;Anathème Bidule;2023-12-28 21:32:58;@ENGIEpartSAV vous envisagez de vous occuper de l'agence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ?\nEt non, je n'enverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la @dgccrf.;engiepartsav vous envisagez de vous occuper de l agence fantôme du secteur grand marseille un jour ou on va au tribunal net non je n enverrai pas un énième mail que vous ne traiterez pas vous avez une mise en demeure à traiter et un signalement à la dgccrf;256;21;False;Autre;Service client injoignable;100;"Catégorie : Service client injoignable
Score d'inconfort : 100
Réponse : Désolé de ne pas avoir pu répondre à votre message précédent. Il semble que vous avez une situation désagréable avec l'agence Engie Partsav à Grand Marseille. Nous sommes là pour vous aider, mais il est essentiel que nous comprenons la nature de votre problème. Pouvez-vous s'il vous plaît fournir plus de détails sur le problème que vous rencontrez ? Votre agence a une mise en demeure à traiter et un signalement à la DGCCRF. Nous allons faire de notre mieux pour vous aider à résoudre cette situation et vous contacterons dans les prochaines heures avec des informations supplémentaires.";Désolé de ne pas avoir pu répondre à votre message précédent. Il semble que vous avez une situation désagréable avec l'agence Engie Partsav à Grand Marseille. Nous sommes là pour vous aider, mais il est essentiel que nous comprenons la nature de votre problème. Pouvez-vous s'il vous plaît fournir plus de détails sur le problème que vous rencontrez ? Votre agence a une mise en demeure à traiter et un signalement à la DGCCRF. Nous allons faire de notre mieux pour vous aider à résoudre cette situation et vous contacterons dans les prochaines heures avec des informations supplémentaires.;Neutre;50;Négatif.
1,74068E+18;vince_thouvenin;thouvenin;2023-12-29 10:08:10;"@ENGIEpartSAV retour de votre technicien ""vous n'avez pas d'eau chaude car vos mousseurs sont entartrés, ça crée des problème de pression "" l'intégralité de la robinetterie a deux ans, refaite à neuf. Vous ne respectez pas vos clients...";engiepartsav retour de votre technicien vous n avez pas d eau chaude car vos mousseurs sont entartrés ça crée des problème de pression l intégralité de la robinetterie a deux ans refaite à neuf vous ne respectez pas vos clients;227;10;True;Panne & Urgence;Pannes et urgences;80;"Catégorie : Pannes et urgences
Score d'inconfort : 80
Réponse :
""Bonjour, nous sommes désolés de entendre que vous êtes confronté à des problèmes avec votre système de chauffage dans votre résidence. Le fait que les mousseurs soient entartrés puisse créer une pression insuffisante et causer des problèmes de fonctionnement.

Nous allons procéder à une visite rapide dès aujourd'hui pour vous aider à résoudre ce problème. N'hésitez pas à nous contacter si vous avez d'autres questions ou préoccupations.""";;Neutre;50;Néga
1,74069E+18;dionombo;Zawarudo 😈;2023-12-29 11:13:42;@ENGIEpartFR Merci pour l'annulation d'entretien de dernière minute. Ça me met bien dans la merde... Quand au service client: ils ne comprennent rien. Je retiens la leçon....;engiepartfr merci pour l annulation d entretien de dernière minute ça me met bien dans la merde quand au service client ils ne comprennent rien je retiens la leçon;163;11;True;Service Client;Service client injoignable;80;"Catégorie : Service client injoignable
Score d'inconfort : 80
Réponse : ""Je suis désolé de comprendre que l'annulation de votre entretien et la réponse du service client ne vous ont pas aidés. Puis-je vous aider à trouver une solution ou proposez-vous un autre contact pour discuter de cette situation ?""";"""Je suis désolé de comprendre que l'annulation de votre entretien et la réponse du service client ne vous ont pas aidés. Puis-je vous aider à trouver une solution ou proposez-vous un autre contact pour discuter de cette situation ?""";Négatif;0;Négatif
1,74071E+18;hawaien88;hawaien88;2023-12-29 12:16:46;Je m’explique mal où c’est les personnes du chat qui ne comprennent rien ?\nC’est lunaire comme échange depuis hier !!! @ENGIEpartFR faites quelques choses !!! 1/9 https://t.co/wQoEEFycvo;je m explique mal où c est les personnes du chat qui ne comprennent rien nc est lunaire comme échange depuis hier engiepartfr faites quelques choses 1 9;152;12;False;Autre;Service client injoignable;80;"Catégorie : Service client injoignable
Score d'inconfort : 80
Réponse : ""Bonjour, nous sommes désolés de vous entendre exprimer votre frustration avec la qualité de service que vous avez reçue depuis hier. Votre inquiétude est valable et nous allons faire le maximum pour résoudre ce problème. Pour vous aider, pouvez-vous s'il vous plaît fournir plus d'informations sur les échanges que vous avez eus avec EngiePartFr ? Nous allons agir rapidement pour améliorer votre expérience.""";"""Bonjour, nous sommes désolés de vous entendre exprimer votre frustration avec la qualité de service que vous avez reçue depuis hier. Votre inquiétude est valable et nous allons faire le maximum pour résoudre ce problème. Pour vous aider, pouvez-vous s'il vous plaît fournir plus d'informations sur les échanges que vous avez eus avec EngiePartFr ? Nous allons agir rapidement pour améliorer votre expérience.""";Neutre;50;Négaativ.
1,74073E+18;hawaien88;hawaien88;2023-12-29 14:01:48;@ENGIEpartSAV Et c’est si compliqué d’expliquer ça? Vous pouvez supprimer le chat si ils sont pas formés pour répondre au question. Donc sur ma prochaine facture il n’y aura plus cette ligne? Donc cette partie correspond à la consommation de quelle période? Que je puisse vérifier dans ma bdd?;engiepartsav et c est si compliqué d expliquer ça vous pouvez supprimer le chat si ils sont pas formés pour répondre au question donc sur ma prochaine facture il n y aura plus cette ligne donc cette partie correspond à la consommation de quelle période que je puisse vérifier dans ma bdd;287;14;True;Facturation;Autre;20;"Catégorie : Autre
Score d'inconfort : 20

Réponse : Bonjour ! Nous sommes désolés pour tout inconfort causé par cette situation. Il semble que vous avez des questions sur votre facture et comment expliquer les détails de consommation. Nous allons faire notre mieux pour clarifier cela pour vous. Pour commencer, veuillez vérifier votre historique de consommation dans votre account client en ligne. Vous devriez pouvoir trouver les informations nécessaires à ce level. Si vous avez besoin d'aide ou si les détails ne sont toujours pas clairs, n'hésitez pas à nous contacter pour obtenir une assistance personnelle. Nous sommes là pour vous aider !";Nous analysons votre situation.;Neutre;50;Néutre
1,7411E+18;Petit20850206;Petit;2023-12-30 13:55:44;@ENGIEpartFR Bonjour, J'ai reçu un courrier de votre part le 29/12/2023 qui m'ordonne d'installer un compteur numérique avant le 01/01/2024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ?;engiepartfr bonjour j ai reçu un courrier de votre part le 29 12 2023 qui m ordonne d installer un compteur numérique avant le 01 01 2024 c est scandaleux comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d année;265;13;True;Autre;Service client injoignable;80;"Catégorie : Service client injoignable
Score d'inconfort : 80
Réponse : Bonjour, je m'excuse pour la situation inconfortable que vous avez vécue. Il est compréhensible que vous soyez préoccupé par le délai donné pour l'installation du compteur numérique. Pour nous aider à résoudre cette question, puis-je vous fournir plus d'informations sur les procédures et les délais standard pour ces installations ?";Bonjour, je m'excuse pour la situation inconfortable que vous avez vécue. Il est compréhensible que vous soyez préoccupé par le délai donné pour l'installation du compteur numérique. Pour nous aider à résoudre cette question, puis-je vous fournir plus d'informations sur les procédures et les délais standard pour ces installations ?;Neutre;50;Négatif.
1,7418E+18;Jules_brdn;🇷🇸 Ajde Ana! 🇷🇸;2024-01-01 12:45:32;@ENGIEpartSAV urgent !! Une honte mon abonnement est passé à 0,32 du kwh ?!?? Merci de me répondre urgemment ! Alors que j’avais un contrat de 2 ans à 0,10 je viens de m’apercevoir aujourd’hui que la facture a triple !!;engiepartsav urgent une honte mon abonnement est passé à 0 32 du kwh merci de me répondre urgemment alors que j avais un contrat de 2 ans à 0 10 je viens de m apercevoir aujourd hui que la facture a triple;205;12;True;Facturation;Facturation (montant erroné, prélèvement injustifié);80;"Catégorie : Facturation (montant erroné, prélèvement injustifié)
Score d'inconfort : 80
Réponse : @engiepartsav, nous sommes désolés d'entendre que votre facture a été incorrecte et que vous avez payé plus de ce à quoi vous deviez. Veuillez nous contacter dès que possible pour nous permettre de rectifier cette erreur et de rembourser la différence. Nous allons également vérifier immédiatement votre compte pour éviter tout problème futur.";@engiepartsav, nous sommes désolés d'entendre que votre facture a été incorrecte et que vous avez payé plus de ce à quoi vous deviez. Veuillez nous contacter dès que possible pour nous permettre de rectifier cette erreur et de rembourser la différence. Nous allons également vérifier immédiatement votre compte pour éviter tout problème futur.;Négatif;0;Négatif
